order,Sentence,hypo
9304,I'll see him wriggle like a worm on a hook!,1
9327,Her boyfriend would obey her commands without hesitation.,0
9343,I've seen this movie at least eighty thousand times.,1
9348,Bring these vermin to the Palace of Justice.,1
9354,"But you are mute, mute as a fish.",1
9359,Democrats and Republicans will agree on a tax reform bill when pigs will have wings!,1
9361,People say Massimo has phenomenal cooking powers.,1
9375,"My love, you are my oxygen.",1
9383,Your speech evokes a thousand sympathies.,1
9383,The minister told the guests that the couple's friendship was very sweet.,0
9389,"After watching the movie, I wanted to put the villain through the wall into the next planet.",1
9395,Her eyes were gray and sharp like the points of two picks.,1
9400,They witnessed a paradise revealed on this very same earth.,1
9400,There was a pleasant atmosphere.,0
9405,"Insolent boy, I'll hit you!",0
9409,You always concentrate my whole senses.,1
9413,I could smell his horrible breath.,0
9420,I thought we had a deal but you stabbed me in the back.,1
9422,You're exaggerating.,0
9426,car and her,0
9428,A large number of people surrounded the stage.,0
9432,My bank account runs dry.,1
9433,The ancient castle was so big that it took a week to walk from one end to the other.,1
9434,Idleness causes bad behavior.,0
9439,Seeing my bestfriend again would mean the world to me.,1
9450,There's dust all around.,0
9454,"Love, love, love these!",1
9461,Being in debt makes me uncomfortable.,0
9473,simile,0
9491,The bad sides are so overpowering that she finds it difficult to concentrate on anything else.,0
9505,This new brand is good.,0
9518,"Remember, Quasimodo they're gypsies. They'll steal from us.",0
9526,And your father and I worked on those plans together for a long time.,0
9538,That must be the angel music I hear.,1
9544,The buyer has to be careful.,0
9549,"I am hungry, I could eat a big meal.",0
9575,"Remember, Quasimodo they're gypsies. They'll steal us blind.",1
9577,He could swear he saw a wisp of smoke coming out of her ears.,1
9589,"If you leave me, I'll forget about you.",0
9590,I love you with so much of my heart that none is left to protest.,1
9592,This is the really important advice of your life.,0
9596,He used to teach there and was bothered by all the pupils.,0
9596,It took him a fair bit of time to comb his hair.,0
9596,The crowd was delighted by the performance.,0
9607,I broke my ribs laughing.,1
9607,This new computer program is all Greek to me.,1
9624,Technology hurts humanity.,0
9629,It is a truth widely acknowledged that a single man in possession of a fortune must be in want of a wife.,0
9637,Love you to the moon and back.,1
9648,He only sees himself.,1
9661,This is honestly the best seasoning salt in all the land.,1
9661,"Cheryl is so moody, she has different moods in a day.",0
9662,No one knows her. She's mysterious as the dark side of the moon.,1
9663,It is very easy to pass that test!,0
9670,"Because I drank so much whiskey, I do not remember the last three days.",0
9681,My parents would have about two hemorrhages apiece if I told anything personal about them.,1
9684,Look how grown up! It wasn't that long ago that you were on your tricycle.,0
9691,"Here he was, in control.",0
9692,Look at her furious fingers articulating words as she writes the report.,1
9696,He put loads and loads of cream on his cake.,1
9697,This class is very noisy today!,0
9701,Punctuality is a crucial aspect of business.,0
9708,"Since you stopped partying, you're a nullity.",1
9714,"No more food, I'm stuffed.",1
9722,Too much work makes me feel demolished.,1
9726,It seems to have been raining for fourty days and fourty nights.,1
9726,"When the last light set, it was beautiful.",0
9736,You're an infant dad.,1
9737,So much snow that it's like walking in the firmament.,1
9737,They will die of envy.,1
9738,I'm going to explode.,1
9740,"You get into that University, you won't get out alive.",1
9754,They were gone in no time.,1
9781,Sarah does not have a good sense of humor.,0
9782,This room is a mess. It looks very untidy!,0
9783,After workout I feel very strong.,0
9797,You'll devour the book in a couple of days.,1
9797,"There are no leftovers, he eats a lot!",0
9809,People bend to his will.,1
9830,"I am sitting here, throned in blue sky like a sphinx.",1
9833,You have ravished me away by a power I am unable to resist.,1
9847,He has a big belly.,0
9852,My oral exam was very quick. I was done seconds after entering the classroom.,1
9857,When the girl lost her puppy she cried an ocean of tears.,1
9887,Sleeping on this pillow is sleeping on something very soft.,0
9891,"If Sylvia flirted with Johnny, Steve threatened to beat the living tar out of her.",1
9892,There are no words to describe my admiration.,1
9897,TV is providing us with subliminal messages.,0
9898,My lover's arms were made to hold me close.,1
9901,"Sad to say, but she was a relentless drinker.",1
9904,My mother has good hearing.,0
9910,He put lots of cream on his cake.,0
9914,It's very dark in the room.,0
9922,Music is my daily drug.,1
9931,I am so tired I could sleep for a year.,1
9940,"He looked at the glass, and lowered his lips to the water.",0
9946,The cream you bought will last for a long time.,0
9956,"I can't let go now, I'm possessed.",1
9958,"There are no leftovers, he's a dustbin!",1
9977,She has a fairy aura.,1
9991,The cream you bought will last for centuries.,1
9996,I like your new haircut!,0
9998,It'd take a miracle to get me into the army.,1
